Pixel_Index,Ru,Rh,Pd,Ir,Pt
0,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
1,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
2,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
3,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
4,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
5,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
6,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
7,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
8,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
9,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
10,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
11,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
12,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
13,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
14,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
15,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
16,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
17,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
18,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
19,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
20,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
21,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
22,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
23,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
24,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
25,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
26,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
27,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
28,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
29,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
30,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
31,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
32,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
33,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
34,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
35,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
36,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
37,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
38,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
39,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
40,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
41,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
42,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
43,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
44,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
45,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
46,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
47,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
48,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
49,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
50,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
51,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
52,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
53,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
54,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
55,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
56,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
57,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
58,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
59,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
60,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
61,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
62,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
63,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
64,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
65,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
66,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
